Range,Primes Found,Duration
1000,168,0.000301676
2000,303,0.002107056
3000,430,0.000107157
4000,550,0.000411475
5000,669,0.000180265
6000,783,0.000214702
7000,900,0.00232961
8000,1007,0.000187878
9000,1117,0.000208529
10000,1229,0.00024752
11000,1335,0.000287112
12000,1438,0.000301207
13000,1547,0.000359295
14000,1652,0.00037798
15000,1754,0.000404864
16000,1862,0.00194987
17000,1960,0.00048018
18000,2064,0.000905635
19000,2158,0.000552499
20000,2262,0.000595033
21000,2360,0.000642058
22000,2464,0.000656829
23000,2564,0.001601617
24000,2668,0.000745464
25000,2762,0.001190071
26000,2860,0.000832258
27000,2961,0.001338807
28000,3055,0.00186322
29000,3153,0.001329232
30000,3245,0.000980285
31000,3340,0.001023832
32000,3432,0.001548946
33000,3538,0.001523213
34000,3638,0.002594161
35000,3732,0.001593698
36000,3824,0.001385429
37000,3923,0.001298658
38000,4017,0.00227281
39000,4107,0.001816364
40000,4203,0.001450274
41000,4291,0.002350708
42000,4392,0.001542001
43000,4494,0.002119373
44000,4579,0.001809018
45000,4675,0.002125126
46000,4761,0.00216413
47000,4851,0.002679882
48000,4946,0.00223256
49000,5035,0.001893152
50000,5133,0.002936042
51000,5222,0.001990067
52000,5319,0.003483694
53000,5408,0.002175502
54000,5500,0.002486504
55000,5590,0.003152675
56000,5683,0.002401876
57000,5782,0.003170351
58000,5873,0.002375976
59000,5963,0.003736077
60000,6057,0.003369971
61000,6145,0.003220226
62000,6232,0.003392759
63000,6320,0.002652855
64000,6413,0.004089891
65000,6493,0.003349188
66000,6591,0.002847801
67000,6675,0.003161811
68000,6774,0.003996114
69000,6854,0.003948138
70000,6935,0.003575143
71000,7033,0.004073025
72000,7128,0.003746524
73000,7218,0.004549744
74000,7301,0.004169788
75000,7393,0.003868712
76000,7484,0.004568426
77000,7567,0.004489323
78000,7662,0.00437625
79000,7746,0.004246727
80000,7837,0.004722846
81000,7925,0.004239853
82000,8017,0.004256047
83000,8106,0.005248476
84000,8190,0.005222824
85000,8277,0.004839103
86000,8362,0.005176867
87000,8450,0.004559683
88000,8543,0.005982873
89000,8619,0.005281435
90000,8713,0.005439969
91000,8802,0.00505907
92000,8887,0.00500166
93000,8984,0.005961161
94000,9070,0.005919575
95000,9157,0.005513489
96000,9252,0.005388088
97000,9336,0.006043529
98000,9418,0.005318658
99000,9505,0.005872333
100000,9592,0.006389122
101000,9673,0.006448307
102000,9766,0.005662468
103000,9853,0.006680729
104000,9933,0.006389846
105000,10024,0.006740289
106000,10106,0.006655623
107000,10198,0.007819913
108000,10274,0.006591078
109000,10365,0.006926811
110000,10453,0.007951168
111000,10536,0.007604462
112000,10620,0.006993118
113000,10701,0.006812755
114000,10789,0.007481118
115000,10871,0.00784847
116000,10964,0.007886094
117000,11045,0.008218232
118000,11135,0.007980092
119000,11214,0.007504932
120000,11301,0.007730619
121000,11389,0.007684373
122000,11475,0.008864166
123000,11563,0.007942595
124000,11651,0.008562182
125000,11734,0.008543238
126000,11818,0.00829397
127000,11901,0.007884664
128000,11987,0.008980884
129000,12076,0.009305512
130000,12159,0.009377604
131000,12244,0.008796878
132000,12327,0.00886122
133000,12414,0.008707109
134000,12496,0.009173819
135000,12576,0.008911339
136000,12665,0.009735894
137000,12761,0.00920198
138000,12841,0.009952788
139000,12926,0.009229912
140000,13010,0.010043423
141000,13097,0.009785471
142000,13184,0.009952053
143000,13266,0.010312783
144000,13343,0.010013848
145000,13422,0.010038156
146000,13507,0.011304764
147000,13591,0.010566231
148000,13674,0.010165011
149000,13757,0.010867243
150000,13848,0.010859329
151000,13933,0.010887052
152000,14023,0.011555389
153000,14111,0.010614615
154000,14188,0.011887253
155000,14272,0.011613809
156000,14357,0.011688233
157000,14433,0.01164259
158000,14521,0.012007228
159000,14598,0.011886367
160000,14683,0.012036626
161000,14768,0.011786719
162000,14852,0.012248673
163000,14933,0.012274074
164000,15016,0.011960888
165000,15093,0.012811682
166000,15173,0.012532813
167000,15254,0.012560473
168000,15337,0.013383271
169000,15410,0.012477647
170000,15497,0.013149778
171000,15584,0.012588179
172000,15665,0.013056644
173000,15754,0.014602847
174000,15833,0.012885277
175000,15916,0.014304951
176000,15991,0.01344577
177000,16086,0.014339806
178000,16159,0.013764858
179000,16248,0.014755686
180000,16342,0.013497556
181000,16413,0.014003471
182000,16492,0.015012072
183000,16583,0.014658049
184000,16662,0.014470027
185000,16745,0.014058752
186000,16836,0.014713052
187000,16915,0.014813823
188000,17002,0.015274974
189000,17082,0.015072664
190000,17170,0.01541042
191000,17245,0.014512815
192000,17326,0.016057879
193000,17415,0.014989825
194000,17499,0.015409234
195000,17573,0.016880575
196000,17658,0.015746364
197000,17734,0.015951138
198000,17821,0.01604242
199000,17907,0.016368764
200000,17984,0.016949595
201000,18061,0.016521354
202000,18148,0.016990746
203000,18226,0.017127947
204000,18304,0.017007029
205000,18381,0.016712608
206000,18464,0.017516128
207000,18547,0.017417317
208000,18634,0.017044632
209000,18719,0.01700169
210000,18807,0.018001823
211000,18891,0.016938313
212000,18977,0.017811362
213000,19046,0.01826715
214000,19127,0.017557187
215000,19213,0.017721881
216000,19287,0.01757456
217000,19363,0.018255512
218000,19443,0.019551825
219000,19527,0.017544755
220000,19618,0.01815227
221000,19696,0.018441782
222000,19776,0.020182113
223000,19857,0.019036541
224000,19937,0.018564054
225000,20020,0.019170057
226000,20104,0.019185872
227000,20180,0.020024655
228000,20260,0.018928235
229000,20349,0.020079694
230000,20437,0.019172763
231000,20521,0.019966037
232000,20599,0.020026189
233000,20675,0.020240365
234000,20746,0.020652483
235000,20833,0.01967329
236000,20906,0.020597128
237000,20982,0.021500891
238000,21055,0.021354468
239000,21142,0.020378639
240000,21221,0.021639791
241000,21301,0.020633081
242000,21392,0.022358765
243000,21468,0.023352269
244000,21545,0.024808497
245000,21633,0.022340125
246000,21713,0.021667919
247000,21797,0.022384493
248000,21876,0.021829304
249000,21964,0.022667811
250000,22044,0.022228525
251000,22115,0.021943095
252000,22203,0.023237273
253000,22281,0.022638644
254000,22362,0.022687561
255000,22438,0.022808339
256000,22525,0.022671435
257000,22597,0.024076187
258000,22675,0.022991003
259000,22761,0.023560503
260000,22837,0.023162254
261000,22914,0.023577088
262000,22987,0.024377484
263000,23066,0.024427903
264000,23150,0.023860098
265000,23230,0.023642467
266000,23308,0.026191507
267000,23395,0.024273923
268000,23489,0.02495694
269000,23564,0.024973841
270000,23642,0.024551021
271000,23726,0.024239003
272000,23804,0.025552582
273000,23887,0.025066649
274000,23958,0.025432331
275000,24038,0.026493573
276000,24121,0.025588896
277000,24204,0.025248941
278000,24278,0.025989875
279000,24359,0.026091978
280000,24432,0.026481752
281000,24519,0.027514273
282000,24604,0.026489406
283000,24681,0.026836418
284000,24753,0.027590216
285000,24843,0.026649358
286000,24920,0.026867691
287000,24991,0.027416944
288000,25062,0.026475935
289000,25139,0.027415416
290000,25224,0.027953516
291000,25308,0.027665293
292000,25385,0.027536639
293000,25463,0.029127874
294000,25531,0.027924197
295000,25616,0.028463462
296000,25691,0.028630845
297000,25773,0.027395134
298000,25846,0.028952572
299000,25919,0.029403663
300000,25997,0.028245446
301000,26082,0.029516782
302000,26165,0.029881334
303000,26237,0.028290551
304000,26321,0.029076714
305000,26409,0.029920614
306000,26489,0.029366089
307000,26571,0.029993994
308000,26644,0.029717932
309000,26720,0.029470511
310000,26800,0.030695391
311000,26879,0.030310318
312000,26948,0.031242408
313000,27034,0.030130361
314000,27120,0.03039764
315000,27196,0.03061057
316000,27273,0.030764293
317000,27357,0.031636436
318000,27441,0.030775184
319000,27522,0.031140905
320000,27608,0.033046088
321000,27687,0.031323576
322000,27767,0.03115163
323000,27848,0.031321828
324000,27919,0.031383701
325000,28006,0.03188806
326000,28091,0.032185087
327000,28164,0.033017572
328000,28250,0.032473819
329000,28323,0.032604885
330000,28404,0.033277016
331000,28484,0.03304273
332000,28566,0.032760071
333000,28638,0.033231829
334000,28719,0.032470152
335000,28796,0.032407253
336000,28873,0.033519282
337000,28957,0.033674969
338000,29037,0.034002303
339000,29114,0.033303301
340000,29182,0.034276624
341000,29266,0.034276473
342000,29343,0.034101139
343000,29420,0.034280043
344000,29500,0.034466466
345000,29580,0.034598859
346000,29656,0.035038835
347000,29736,0.035642448
348000,29818,0.034499387
349000,29895,0.035208137
350000,29977,0.035047737
351000,30051,0.036575237
352000,30132,0.035543739
353000,30214,0.035364359
354000,30290,0.035588674
355000,30377,0.035939361
356000,30456,0.037554515
357000,30523,0.037600997
358000,30603,0.03646684
359000,30686,0.038384324
360000,30757,0.036125022
361000,30825,0.036853574
362000,30904,0.038085937
363000,30980,0.036946355
364000,31064,0.037902595
365000,31141,0.038139386
366000,31218,0.038106276
367000,31303,0.037325272
368000,31382,0.039305393
369000,31454,0.038532143
370000,31522,0.037617977
371000,31592,0.037805908
372000,31668,0.039253294
373000,31749,0.038497413
374000,31822,0.039803552
375000,31904,0.038525835
376000,31989,0.039284236
377000,32069,0.039475012
378000,32140,0.040613848
379000,32217,0.039485414
380000,32300,0.039032824
381000,32372,0.039421999
382000,32448,0.040282003
383000,32522,0.040256282
384000,32603,0.040926579
385000,32681,0.039656159
386000,32761,0.040880176
387000,32839,0.04095934
388000,32908,0.040406312
389000,32983,0.041077185
390000,33067,0.041247108
391000,33148,0.041163374
392000,33227,0.041867247
393000,33313,0.041624681
394000,33400,0.042270678
395000,33475,0.041755207
396000,33547,0.042324266
397000,33622,0.042818787
398000,33697,0.043142237
399000,33779,0.043237685
400000,33860,0.04272462
401000,33930,0.043853946
402000,34001,0.043082316
403000,34077,0.042251766
404000,34152,0.043420001
405000,34222,0.045324923
406000,34305,0.043563316
407000,34372,0.04278658
408000,34453,0.043432504
409000,34532,0.044197634
410000,34614,0.044968666
411000,34687,0.044034517
412000,34768,0.044347474
413000,34842,0.044416385
414000,34911,0.045432318
415000,35001,0.044970947
416000,35081,0.04587955
417000,35148,0.045810991
418000,35230,0.044811322
419000,35315,0.046306379
420000,35390,0.045364695
421000,35465,0.045173338
422000,35538,0.046049205
423000,35615,0.046100181
424000,35698,0.047374833
425000,35779,0.04645613
426000,35853,0.047086977
427000,35924,0.046035313
428000,36002,0.047954567
429000,36073,0.046931873
430000,36162,0.047212611
431000,36238,0.047549889
432000,36317,0.047693326
433000,36401,0.048927566
434000,36481,0.047799412
435000,36566,0.04829666
436000,36648,0.048543015
437000,36721,0.047867641
438000,36791,0.049514173
439000,36866,0.049171954
440000,36941,0.048200888
441000,37020,0.049431918
442000,37092,0.048898055
443000,37177,0.050188902
444000,37265,0.049178331
445000,37347,0.049280005
446000,37415,0.050623526
447000,37483,0.050861412
448000,37556,0.049605301
449000,37626,0.051407427
450000,37706,0.049893796
451000,37798,0.050761306
452000,37874,0.051663851
453000,37937,0.05053973
454000,38009,0.050404641
455000,38083,0.05018686
456000,38165,0.051466818
457000,38238,0.052829564
458000,38315,0.051936174
459000,38390,0.050457234
460000,38458,0.053338172
461000,38535,0.053697633
462000,38604,0.052013554
463000,38678,0.053165813
464000,38755,0.053169618
465000,38840,0.051563937
466000,38914,0.054453887
467000,38983,0.053470562
468000,39066,0.052120383
469000,39151,0.053373578
470000,39223,0.054319125
471000,39310,0.054680019
472000,39388,0.058109595
473000,39461,0.053366746
474000,39539,0.054550321
475000,39619,0.054960023
476000,39705,0.055193978
477000,39780,0.054745812
478000,39849,0.05563714
479000,39934,0.054890698
480000,40005,0.055061539
481000,40082,0.055673284
482000,40160,0.055111562
483000,40242,0.055596945
484000,40317,0.055733645
485000,40382,0.055826081
486000,40445,0.055879508
487000,40527,0.055891894
488000,40605,0.057375554
489000,40688,0.057721355
490000,40766,0.056262389
491000,40844,0.056424536
492000,40920,0.05684296
493000,40987,0.057217356
494000,41069,0.057289324
495000,41149,0.057243912
496000,41236,0.058664917
497000,41304,0.057766603
498000,41385,0.057564111
499000,41457,0.060127163
500000,41538,0.058120693
501000,41617,0.059868113
502000,41691,0.05827588
503000,41758,0.059021446
504000,41834,0.059100579
505000,41910,0.058826622
506000,41993,0.05901712
507000,42069,0.059960038
508000,42140,0.060409694
